Fecha,Demanda_Real,Prediccion_RF,Prediccion_LSTM,Temperatura,Humedad,Velocidad_Viento
2018-05-19 08:00:00,28096.0,28050.12,28008.900952339172,17.116000000000007,66.8,1.2
2018-05-19 09:00:00,28429.0,28400.320000000003,28425.20673853159,19.186000000000014,58.6,1.6
2018-05-19 10:00:00,28478.000000000004,28343.77,28186.33608442545,20.960000000000026,54.8,2.0
2018-05-19 11:00:00,28482.0,28327.750000000004,27877.974665105343,22.20200000000002,49.0,2.6
2018-05-19 12:00:00,27641.0,27628.230000000007,27615.114928483963,22.662000000000024,48.2,3.2
2018-05-19 13:00:00,26326.000000000004,26453.25,26818.0018851161,23.04000000000002,48.0,3.0
2018-05-19 14:00:00,25492.0,25613.2,25850.91670590639,23.0,44.5,3.1666666666666665
2018-05-19 15:00:00,25174.0,25336.91,25321.761515676975,22.63500000000001,48.333333333333336,3.8333333333333335
2018-05-19 16:00:00,24931.0,25379.7,25382.815671741962,22.26666666666668,52.166666666666664,3.5
2018-05-19 17:00:00,25033.0,25316.35,25430.645261526108,19.936666666666678,65.33333333333333,4.333333333333333
2018-05-19 18:00:00,25538.000000000004,26326.039999999997,25525.334936261177,19.628333333333348,68.83333333333333,3.0
2018-05-19 19:00:00,26949.000000000004,27195.540000000005,25531.649041891098,19.006000000000018,67.6,2.8
2018-05-19 20:00:00,26750.0,26849.480000000007,26103.36042767763,18.30400000000002,71.0,2.6
2018-05-19 21:00:00,24985.000000000004,25118.600000000002,25175.272484898567,17.47600000000002,76.8,1.4
2018-05-19 22:00:00,23485.0,23719.379999999997,23606.421954751015,17.036000000000012,78.8,1.6
2018-05-19 23:00:00,21971.0,22191.42,22049.79430615902,16.048000000000012,79.4,1.4
2018-05-20 00:00:00,21121.0,21024.77,20820.64635616541,15.336000000000002,83.6,2.8
2018-05-20 01:00:00,20552.0,20680.57,20331.69343662262,14.148000000000001,80.4,1.8
2018-05-20 02:00:00,20182.0,20403.39,20316.744165062904,13.482000000000005,86.8,1.0
2018-05-20 03:00:00,20128.0,20125.01,20445.85194605589,13.272000000000014,86.8,0.8
2018-05-20 04:00:00,20020.0,20152.29,20633.740750312805,12.762000000000011,86.4,1.0
2018-05-20 05:00:00,19746.0,20015.84,20748.129996418953,12.56400000000001,85.2,1.2
2018-05-20 06:00:00,20985.0,20609.74,20998.885985553265,12.608000000000015,87.4,0.8
2018-05-20 07:00:00,22910.0,22604.08,22146.022795945406,13.406666666666686,81.66666666666667,1.6666666666666667
2018-05-20 08:00:00,24322.000000000004,24401.63,23753.036966383457,16.210000000000015,70.4,1.0
2018-05-20 09:00:00,25042.999999999996,25036.750000000004,25172.94800120592,18.18800000000001,63.8,1.2
2018-05-20 10:00:00,25305.0,25334.88,25278.868458271027,20.06800000000002,56.8,1.4
2018-05-20 11:00:00,25655.999999999996,25519.669999999995,24965.699226140976,21.180000000000017,50.2,1.8
2018-05-20 12:00:00,25179.0,25133.34,24808.082799494267,21.755000000000013,49.5,3.6666666666666665
2018-05-20 13:00:00,23969.000000000004,24067.609999999997,24512.69809281826,21.576666666666682,55.166666666666664,3.8333333333333335
2018-05-20 14:00:00,23240.0,23294.879999999997,23917.016795516014,21.746000000000016,49.6,4.0
2018-05-20 15:00:00,23059.0,22970.02,23402.78759777546,22.366666666666692,52.166666666666664,3.0
2018-05-20 16:00:00,23185.0,23294.52,23240.969983518124,21.72600000000002,51.8,3.8
2018-05-20 17:00:00,23488.999999999996,24071.660000000003,23380.972369670868,20.75000000000002,54.4,3.6
2018-05-20 18:00:00,24478.0,24805.989999999994,23756.94648092985,19.882000000000016,58.6,3.0
2018-05-20 19:00:00,26422.0,26607.409999999996,24550.26503574848,19.356000000000005,63.0,3.4
2018-05-20 20:00:00,26713.0,26905.880000000005,25756.395462095737,18.068000000000005,70.8,2.6
2018-05-20 21:00:00,24969.0,25216.76,24977.616056382656,16.960000000000015,77.4,1.8
2018-05-20 22:00:00,23276.000000000004,23990.730000000003,23473.886672914028,16.468000000000018,80.4,1.4
2018-05-20 23:00:00,21968.0,22067.42,21821.053471267223,16.036000000000012,80.0,1.4
2018-05-21 00:00:00,21208.0,21104.64,20690.91517534852,15.50000000000001,83.6,1.4
2018-05-21 01:00:00,20873.0,20945.670000000002,20361.45915210247,14.650000000000023,87.4,1.0
2018-05-21 02:00:00,20751.0,20788.455,20479.3334120512,14.340000000000021,88.6,1.2
2018-05-21 03:00:00,21362.0,21274.44,20787.17344865203,14.186000000000012,88.6,1.0
2018-05-21 04:00:00,23475.0,23500.010000000006,21674.587377220392,13.660000000000025,91.0,0.8
2018-05-21 05:00:00,25908.0,26109.309999999998,25218.951553285122,13.246000000000015,88.6,0.8
2018-05-21 06:00:00,28147.0,28460.089999999997,27959.187127172947,13.54000000000002,87.6,0.8
2018-05-21 07:00:00,29517.0,29655.729999999992,29195.856955766678,14.92800000000002,85.4,0.8
2018-05-21 08:00:00,30178.0,30037.190000000006,29865.89982151985,16.596000000000014,74.8,1.0
2018-05-21 09:00:00,30664.999999999996,30674.810000000005,30123.09932053089,18.620000000000015,65.0,0.8
2018-05-21 10:00:00,31105.000000000004,30590.58,30267.189922332764,19.958000000000016,59.6,1.2
2018-05-21 11:00:00,31095.000000000004,31374.239999999994,30378.411845445633,21.256000000000018,56.2,1.6
2018-05-21 12:00:00,30202.000000000004,30233.7,30231.946778416634,21.80400000000001,52.6,3.2
2018-05-21 13:00:00,29451.0,29595.829999999998,29432.718762993813,22.126000000000012,48.8,3.6
2018-05-21 14:00:00,29186.000000000004,29328.980000000003,29039.64617419243,21.99000000000001,53.2,4.4
2018-05-21 15:00:00,28999.0,29210.060000000005,29049.2590610981,20.78800000000002,52.0,4.4
2018-05-21 16:00:00,28610.0,28755.36,29000.033411741257,20.772000000000013,55.6,4.0
2018-05-21 17:00:00,28675.999999999996,28520.489999999994,28779.141047120094,20.80200000000002,58.6,3.8
2018-05-21 18:00:00,29217.0,29203.134999999995,28855.4320397377,20.00400000000001,62.4,2.2
2018-05-21 19:00:00,30403.0,30529.620000000006,28390.953639805317,19.484000000000016,68.0,2.6
2018-05-21 20:00:00,28998.0,28950.690000000006,28060.67908334732,18.586666666666673,73.16666666666667,2.3333333333333335
2018-05-21 21:00:00,26366.000000000004,26586.69,26288.47012168169,17.28000000000002,80.83333333333333,2.0
2018-05-21 22:00:00,24912.0,24960.039999999997,24421.16547089815,16.550000000000022,81.0,2.2
2018-05-21 23:00:00,23581.0,23531.680000000004,23203.47219312191,15.61600000000002,84.2,2.0
2018-05-22 00:00:00,22718.0,22745.34,22245.741092324257,15.244000000000018,84.2,1.8
2018-05-22 01:00:00,22487.0,22351.66,21867.103239148855,14.90400000000002,82.6,2.0
2018-05-22 02:00:00,22398.0,22381.670000000002,22052.910620599985,13.935000000000022,91.83333333333333,0.5
2018-05-22 03:00:00,22795.0,22867.949999999997,22382.861666440964,14.006000000000018,86.8,1.0
2018-05-22 04:00:00,24597.000000000004,24607.69,23369.575895130634,13.836000000000013,86.8,1.2
2018-05-22 05:00:00,27191.0,27244.54,26505.72478914261,13.642000000000019,87.8,1.0
2018-05-22 06:00:00,29573.0,29435.460000000003,29095.714501023293,13.956000000000017,88.2,1.0
2018-05-22 07:00:00,30786.0,30621.42,30483.195051431656,14.820000000000016,80.4,1.0
2018-05-22 08:00:00,31262.999999999996,31382.21000000001,31065.11430978775,16.222000000000016,72.8,1.0
2018-05-22 09:00:00,31755.999999999996,31566.07999999999,31078.283417105675,17.886000000000024,64.4,0.6
2018-05-22 10:00:00,32065.0,32045.72,31283.663704395294,19.576000000000022,60.0,0.8
2018-05-22 11:00:00,32066.000000000004,31993.889999999996,31303.461869478226,20.844000000000015,52.6,1.6
2018-05-22 12:00:00,31154.0,30902.53,31144.204268336296,22.094000000000015,52.8,2.0
2018-05-22 13:00:00,30539.0,30452.00999999999,30246.06895828247,22.786000000000012,46.4,2.4
2018-05-22 14:00:00,30284.0,30406.07999999999,30027.785218954086,22.178000000000008,51.8,3.4
2018-05-22 15:00:00,30133.0,30160.269999999997,30097.878501296043,21.774000000000022,57.4,3.0
2018-05-22 16:00:00,29771.999999999996,30120.480000000003,30321.290482997894,22.086000000000023,56.0,2.6
2018-05-22 17:00:00,29686.0,29916.800000000003,30228.754806995392,22.036000000000023,54.0,1.6
2018-05-22 18:00:00,30094.0,30329.53,30270.280561327934,21.72600000000001,57.0,1.2
2018-05-22 19:00:00,30849.0,30798.91,29993.997701644897,20.860000000000024,58.8,1.4
2018-05-22 20:00:00,29593.0,29346.719999999994,28873.345969438553,20.232000000000017,65.0,1.6
2018-05-22 21:00:00,26956.0,27073.57,27078.503588795662,18.734000000000016,74.6,1.4
2018-05-22 22:00:00,25496.0,25789.590000000004,25059.915103316307,17.822000000000013,77.6,0.8
2018-05-22 23:00:00,24091.0,24100.760000000002,23814.271192908287,16.872000000000003,78.6,0.6
2018-05-23 00:00:00,23270.0,23072.33,22873.93708950281,16.180000000000007,82.4,1.2
2018-05-23 01:00:00,22866.0,22836.700000000004,22392.325293421745,15.87800000000002,84.8,1.4
2018-05-23 02:00:00,22776.0,22776.340000000004,22357.675765812397,15.29200000000002,86.4,0.8
2018-05-23 03:00:00,23171.000000000004,23233.25,22644.55060273409,14.524000000000001,89.6,1.2
2018-05-23 04:00:00,25033.0,25056.429999999997,23691.89277508855,14.282000000000005,88.6,0.6
2018-05-23 05:00:00,27607.000000000004,27719.440000000002,26986.339008569717,13.782000000000005,90.0,1.2
2018-05-23 06:00:00,29730.0,29481.069999999996,29575.49341261387,14.234000000000014,88.6,0.8
2018-05-23 07:00:00,31082.0,30883.630000000005,30840.68626511097,15.498000000000014,84.2,0.8
2018-05-23 08:00:00,31589.0,31662.239999999994,31518.791905522346,17.798000000000012,72.8,1.0
2018-05-23 09:00:00,32007.0,31900.050000000003,31625.431959748268,19.258000000000003,68.0,1.4
2018-05-23 10:00:00,32486.0,32338.71,31632.448545575142,20.862000000000013,57.6,0.8
2018-05-23 11:00:00,32588.0,32516.97,31894.513370394707,21.75000000000001,55.8,1.2
2018-05-23 12:00:00,31605.0,31614.140000000003,31740.47849726677,22.36600000000002,54.0,2.2
2018-05-23 13:00:00,31022.0,30947.22,30743.837114214897,23.136000000000024,48.0,2.2
2018-05-23 14:00:00,30836.0,30931.02,30528.893236875534,23.734000000000016,45.0,3.2
2018-05-23 15:00:00,30709.999999999996,30983.81,30662.69038128853,23.720000000000017,46.4,3.2
2018-05-23 16:00:00,30204.0,30558.780000000002,30782.936367750168,24.06600000000002,40.0,3.0
2018-05-23 17:00:00,30136.0,30409.969999999998,30609.946853518486,24.034000000000002,45.6,3.0
2018-05-23 18:00:00,30638.0,30692.889999999996,30688.52330315113,22.54666666666668,58.5,5.666666666666667
2018-05-23 19:00:00,31194.0,31301.92,30685.31626880169,20.676666666666687,66.16666666666667,2.0
2018-05-23 20:00:00,29724.000000000004,29622.720000000005,29245.924759745598,19.774000000000022,67.8,2.8
2018-05-23 21:00:00,27201.0,27102.9,27096.044368684292,19.06800000000002,74.2,2.0
2018-05-23 22:00:00,25767.0,25795.069999999996,25294.112141609192,18.118000000000016,78.8,2.2
2018-05-23 23:00:00,24350.0,24468.340000000004,24013.6790291667,17.882000000000016,81.6,2.0
2018-05-24 00:00:00,23418.0,23412.829999999998,22997.579081594944,17.24800000000001,82.6,1.6
2018-05-24 01:00:00,23176.000000000004,23026.350000000002,22453.024785995483,16.912000000000013,83.6,1.4
2018-05-24 02:00:00,23072.0,23067.57,22563.6120120883,16.79400000000002,83.8,1.2
2018-05-24 03:00:00,23408.999999999996,23442.24,22913.4125739038,16.31400000000001,85.6,1.4
2018-05-24 04:00:00,25120.000000000004,25291.289999999994,23962.749899566174,16.166666666666686,87.0,1.5
2018-05-24 05:00:00,27453.0,27703.670000000006,26940.345726668835,15.646666666666684,86.83333333333333,1.1666666666666667
2018-05-24 06:00:00,29763.0,29625.51,29297.07983326912,15.724000000000023,84.6,1.2
2018-05-24 07:00:00,31006.0,30950.690000000002,30781.231518149376,16.97800000000002,81.0,1.4
2018-05-24 08:00:00,31532.0,31636.655000000002,31333.67810344696,18.970000000000017,70.2,1.2
2018-05-24 09:00:00,31947.0,31948.710000000003,31510.23479294777,20.36400000000001,62.0,1.8
2018-05-24 10:00:00,32423.999999999996,32396.21,31629.70024585724,21.232000000000017,58.0,2.6
2018-05-24 11:00:00,32413.0,32481.61,31808.187728881836,21.862000000000013,59.8,3.4
2018-05-24 12:00:00,31514.0,31356.079999999998,31610.408742904663,22.482000000000017,57.6,3.4
2018-05-24 13:00:00,30967.0,30861.889999999996,30727.44590961933,23.400000000000013,51.0,4.0
2018-05-24 14:00:00,30820.000000000004,30873.499999999996,30495.018080711365,23.770000000000017,50.2,4.8
2018-05-24 15:00:00,30711.0,30904.810000000005,30563.943301439285,23.24200000000002,53.6,5.2
2018-05-24 16:00:00,30218.0,30507.460000000006,30672.289574623108,22.208333333333353,58.0,5.166666666666667
2018-05-24 17:00:00,30147.000000000004,30142.400000000005,30359.054613351822,21.85,59.8,4.6
2018-05-24 18:00:00,30384.999999999996,30512.560000000005,30458.593181610107,20.70000000000001,68.8,3.6
2018-05-24 19:00:00,30859.0,31088.320000000007,30249.259560346603,20.378000000000007,67.4,3.6
2018-05-24 20:00:00,29726.0,29651.280000000006,29078.96589422226,20.66500000000001,67.5,2.8333333333333335
2018-05-24 21:00:00,27133.0,27265.910000000003,27296.83183223009,19.436666666666685,68.0,2.5
2018-05-24 22:00:00,25850.0,25726.820000000003,25396.823510289192,18.52600000000001,72.0,3.4
2018-05-24 23:00:00,24444.0,24418.74,24258.79121297598,17.94000000000002,76.6,2.2
2018-05-25 00:00:00,23648.0,23488.1,23221.375510305166,17.126000000000012,81.2,1.8
2018-05-25 01:00:00,23163.0,23252.8,22714.18104237318,16.260000000000026,82.6,2.0
2018-05-25 02:00:00,23100.0,23055.82,22605.525294482708,15.190000000000017,85.5,1.8333333333333333
2018-05-25 03:00:00,23497.0,23499.030000000002,22876.46184167266,15.200000000000012,85.8,1.0
2018-05-25 04:00:00,25292.999999999996,25306.93,24153.54790300131,15.404000000000007,84.0,2.2
2018-05-25 05:00:00,27664.0,27767.050000000003,27219.468632996082,15.446666666666678,83.5,2.3333333333333335
2018-05-25 06:00:00,29804.000000000004,29761.4,29552.859308958054,15.185000000000011,87.0,2.0
2018-05-25 07:00:00,31117.0,31078.740000000005,30797.19822204113,15.38500000000002,86.5,3.0
2018-05-25 08:00:00,31774.0,31728.235000000008,31482.786029696465,16.906000000000017,80.2,3.0
2018-05-25 09:00:00,32316.0,32170.250000000004,31788.197853803635,17.73600000000001,79.6,2.8
2018-05-25 10:00:00,32598.0,32608.360000000008,31925.803180336952,17.856000000000016,78.2,2.4
2018-05-25 11:00:00,32412.0,32551.279999999995,31925.519723415375,18.618000000000016,72.8,3.2
2018-05-25 12:00:00,31436.0,31323.439999999995,31652.79856157303,19.846000000000014,66.2,3.0
2018-05-25 13:00:00,30469.999999999996,30707.149999999998,30697.744553923607,20.356000000000016,61.2,3.2
2018-05-25 14:00:00,30069.0,30232.190000000002,29921.7093398571,21.00000000000002,60.2,4.4
2018-05-25 15:00:00,29781.999999999996,29896.48000000001,29869.71758913994,21.708000000000006,54.0,3.8
2018-05-25 16:00:00,29215.0,29562.210000000006,29986.258095264435,21.612000000000013,56.6,4.0
2018-05-25 17:00:00,29047.0,29356.570000000007,29639.688873887062,21.51600000000001,58.0,4.0
2018-05-25 18:00:00,29228.0,29584.35000000001,29600.26645207405,20.258000000000028,63.4,4.4
2018-05-25 19:00:00,29776.999999999996,30120.73,29530.143043875694,18.343333333333362,72.0,3.8333333333333335
2018-05-25 20:00:00,28805.0,28260.52,28556.756083250046,18.33000000000002,77.4,3.4
2018-05-25 21:00:00,26753.0,26747.73,26627.94744259119,17.36833333333335,86.0,3.1666666666666665
